Jahr,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2000,2001,2002,2002,2003,2004,2004,2005,2006,2007,2008,2008,2009,2010,2011,2011,2012,2012,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2019,2020,2021,2021,2022,2023
Metrik,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,BIP pro Kopf,Analphabetisierungsrate (%),BIP pro Kopf,BIP pro Kopf,BIP pro Kopf
Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,1617.8264,1454.1108,,1774.3087,1815.9282,,1776.9182,1908.1147,1929.7239,2155.353,,2191.5044,2565.022,2848.5862,69.0,2757.0525,,2985.319,3046.5798,,3017.9426,66.24616,2967.6921,,2958.7854,,2952.999,2902.392,2927.245,2769.6858,63.0,2144.1665,1981.7102,1983.8126
Iraq,10735.094,3819.1619,4916.264,6105.0415,6044.871,5969.6694,6419.3696,7545.73,9871.734,11237.854,26.0,12702.164,12529.608,,11144.051,6849.332,,10210.563,10078.443,10568.914,10853.816,,11511.938,11470.518,11816.841,,12267.585,23.0,13357.015,13712.932,18.0,13536.823,,13516.027,17.0,15016.092,14.0,14417.631,14456.235,14910.225,12827.635,,12731.754,13433.397,13202.323
Sudan,2460.1887,2591.8691,2709.79,2777.275,2736.472,2824.632,2924.2908,3380.1868,3441.1792,3459.23,39.0,3575.852,3701.5488,,3814.3132,3946.9226,,4041.0571,4152.3228,4299.974,4415.785,46.0,4446.4097,4188.0547,4219.837,,4467.626,,4145.9316,4130.486,,4207.5005,,4159.1943,,4174.561,,4061.0183,3816.66,3625.5232,3401.2498,,3248.9756,3132.0771,2181.079
Syria,5828.4053,6081.089,6662.243,6861.795,7142.9536,7431.354,7943.4404,8126.3657,8456.783,7951.39,,7807.93,7698.397,17.0,7811.816,8177.545,19.0,8528.656,8828.946,8885.806,8829.309,,8903.772,9284.102,9546.561,,9648.824,,7144.3726,5530.9746,,5301.6255,,5302.074,,5022.113,,4977.792,4956.093,4825.4062,4633.3496,6.0,4592.8384,4454.8535,4189.8374
